"id","type","name","date","country"
"Q4849966","Book","Balance of Power","",""
"Q5223330","Book","Dark Mirror","",""
"Q5306756","Book","Dreams of the Raven","",""
"Q6080488","Book","Ishmael","",""
"Q7243252","Book","Prime Directive","",""
"Q7315597","Book","Resistance","",""
"Q7460439","Book","Shadow","",""
"Q7499937","Book","Shockwave","",""
"Q7601020","Book","Star Trek: The Next Generation Technical Manual","",""
"Q7647331","Book","Survivors","",""
"Q7766287","Book","The Star Trek Encyclopedia","",""
"Q16385914","Book","Harbinger","",""
"Q16953491","Book","The 34th Rule","","1999-01-01"
"Q3822426","Book","The Physics of Star Trek","",""
"Q4676506","Book","Across the Universe","",""
"Q4883696","Book","Belle Terre","",""
"Q5208164","Book","Daedalus","",""
"Q6952563","Book","The Klingon Dictionary","",""
"Q7601010","Book","Star Trek: The Motion Picture","",""
"Q7601021","Book","Star Trek: The Next Generation U.S.S. Enterprise NCC-1701-D Blueprints","",""
"Q7601038","Book","Star Trek Concordance","",""
"Q7601044","Book","Star Trek Movie Memories","",""
"Q7733475","Book","The Farther Shore","",""
"Q7919602","Book","Vendetta","",""
"Q16968662","Book","Rogue","",""
"Q17063041","Book","Star Trek: Typhon Pact","",""
"Q4659809","Book","A Stitch in Time","",""
"Q4670734","Book","Abyss","",""
"Q5134744","Book","Cloak","",""
"Q5256286","Book","Demons","",""
"Q5419161","Book","Ex Machina","",""
"Q6407763","Book","Killing Time","",""
"Q7600955","Book","Star Trek: A Time to...","",""
"Q7600967","Book","Star Trek: Deep Space Nine Companion","",""
"Q7601025","Book","Star Trek: Vanguard","",""
"Q7601045","Book","Star Trek Memories","",""
"Q7601048","Book","Star Trek Star Fleet Technical Manual","",""
"Q7760733","Book","The Rift","",""
"Q7784253","Book","Thin Air","",""
"Q7837949","Book","Trek to Madworld","",""
"Q7840052","Book","Triangle","",""
"Q7943448","Book","Vulcan!","",""
"Q15034077","Book","The Kobayashi Maru (1989 novel)","",""
"Q17063025","Book","Star Trek: The Q Continuum","",""
"Q18152780","Book","Mosaic","",""
"Q4880799","Book","Behind Enemy Lines","",""
"Q4898202","Book","Betrayal","",""
"Q5299565","Book","Double, Double","",""
"Q7201186","Book","Planet X","",""
"Q7301411","Book","Reap the Whirlwind","",""
"Q7379028","Book","Rules of Engagement","",""
"Q7423844","Book","Sarek","",""
"Q7601008","Book","Star Trek: The New Voyages","",""
"Q7601009","Book","Star Trek: The New Voyages 2","",""
"Q7601035","Book","Star Trek","",""
"Q7601047","Book","Star Trek Spaceflight Chronology","",""
"Q7623965","Book","String Theory","",""
"Q16951231","Book","Star Trek: New Earth","",""
"Q4849966","Book","Balance of Power","",""
"Q5223330","Book","Dark Mirror","",""
"Q5306756","Book","Dreams of the Raven","",""
"Q6080488","Book","Ishmael","",""
"Q7243252","Book","Prime Directive","",""
"Q7315597","Book","Resistance","",""
"Q7460439","Book","Shadow","",""
"Q7499937","Book","Shockwave","",""
"Q7601020","Book","Star Trek: The Next Generation Technical Manual","",""
"Q7647331","Book","Survivors","",""
"Q7766287","Book","The Star Trek Encyclopedia","",""
"Q16385914","Book","Harbinger","",""
"Q16953491","Book","The 34th Rule","","1999-01-01"
"Q3822426","Book","The Physics of Star Trek","",""
"Q4676506","Book","Across the Universe","",""
"Q4883696","Book","Belle Terre","",""
"Q5208164","Book","Daedalus","",""
"Q6952563","Book","The Klingon Dictionary","",""
"Q7601010","Book","Star Trek: The Motion Picture","",""
"Q7601021","Book","Star Trek: The Next Generation U.S.S. Enterprise NCC-1701-D Blueprints","",""
"Q7601038","Book","Star Trek Concordance","",""
"Q7601044","Book","Star Trek Movie Memories","",""
"Q7733475","Book","The Farther Shore","",""
"Q7919602","Book","Vendetta","",""
"Q16968662","Book","Rogue","",""
"Q17063041","Book","Star Trek: Typhon Pact","",""
"Q4659809","Book","A Stitch in Time","",""
"Q4670734","Book","Abyss","",""
"Q5134744","Book","Cloak","",""
"Q5256286","Book","Demons","",""
"Q5419161","Book","Ex Machina","",""
"Q6407763","Book","Killing Time","",""
"Q7600955","Book","Star Trek: A Time to...","",""
"Q7600967","Book","Star Trek: Deep Space Nine Companion","",""
"Q7601025","Book","Star Trek: Vanguard","",""
"Q7601045","Book","Star Trek Memories","",""
"Q7601048","Book","Star Trek Star Fleet Technical Manual","",""
"Q7760733","Book","The Rift","",""
"Q7784253","Book","Thin Air","",""
"Q7837949","Book","Trek to Madworld","",""
"Q7840052","Book","Triangle","",""
"Q7943448","Book","Vulcan!","",""
"Q15034077","Book","The Kobayashi Maru (1989 novel)","",""
"Q17063025","Book","Star Trek: The Q Continuum","",""
"Q18152780","Book","Mosaic","",""
"Q4880799","Book","Behind Enemy Lines","",""
"Q4898202","Book","Betrayal","",""
"Q5299565","Book","Double, Double","",""
"Q7201186","Book","Planet X","",""
"Q7301411","Book","Reap the Whirlwind","",""
"Q7379028","Book","Rules of Engagement","",""
"Q7423844","Book","Sarek","",""
"Q7601008","Book","Star Trek: The New Voyages","",""
"Q7601009","Book","Star Trek: The New Voyages 2","",""
"Q7601035","Book","Star Trek","",""
"Q7601047","Book","Star Trek Spaceflight Chronology","",""
"Q7623965","Book","String Theory","",""
"Q16951231","Book","Star Trek: New Earth","",""
