"id","type","name","date","country"
"Q7600973","Comic_series","Star Trek: Early Voyages","",""
"Q7601013","Comic_series","Star Trek: The Next Generation/Doctor Who: Assimilation2","",""
"Q7601028","Comic_series","Star Trek: Year Four","",""
"Q95156","Comic_series","Star Trek: Countdown","",""
"Q95157","Comic_series","Star Trek: Nero","",""
"Q7600995","Comic_series","Star Trek: Starfleet Academy","",""
"Q18154557","Comic_series","Star Trek: Khan","",""
"Q7600973","Comic_series","Star Trek: Early Voyages","",""
"Q7601013","Comic_series","Star Trek: The Next Generation/Doctor Who: Assimilation2","",""
"Q7601028","Comic_series","Star Trek: Year Four","",""
"Q95156","Comic_series","Star Trek: Countdown","",""
"Q95157","Comic_series","Star Trek: Nero","",""
"Q7600995","Comic_series","Star Trek: Starfleet Academy","",""
"Q18154557","Comic_series","Star Trek: Khan","",""
