"id","type","name","date","country"
"Q610142","TV_season","Season 3 of Star Trek: Enterprise","",""
"Q664160","TV_season","Season 2 of Star Trek: Enterprise","",""
"Q3465791","TV_season","Season 1 of Star Trek: Voyager","",""
"Q3468578","TV_season","season 2 of Star Trek","",""
"Q3468582","TV_season","Season 2 of Star Trek: Voyager","",""
"Q3468783","TV_season","season 3 of Star Trek","",""
"Q3468790","TV_season","Star Trek: The Next Generation","",""
"Q3730030","TV_season","season 5 of Star Trek: Voyager","",""
"Q3730033","TV_season","Season 7 of Star Trek: Voyager","",""
"Q747598","TV_season","season 1 of Star Trek","",""
"Q3468901","TV_season","Season 4 of Star Trek: The Next Generation","",""
"Q3469077","TV_season","Season 7 of Star Trek: The Next Generation","",""
"Q17063005","TV_season","Star Trek: The Animated Series","",""
"Q604559","TV_season","Star Trek: The Next Generation","",""
"Q733620","TV_season","Season 6 of Star Trek: The Next Generation","",""
"Q978153","TV_season","Star Trek: The Next Generation","",""
"Q3468785","TV_season","Season 3 of Star Trek: Deep Space Nine","",""
"Q3468898","TV_season","Season 4 of Star Trek: Enterprise","",""
"Q3468983","TV_season","season 5 of Star Trek: The Next Generation","",""
"Q3730032","TV_season","Season 6 of Star Trek: Voyager","",""
"Q5204631","TV_season","Season 1 of Star Trek: Deep Space Nine","",""
"Q17063010","TV_season","Star Trek: The Animated Series","",""
"Q461787","TV_season","Season 6 of Star Trek: Deep Space Nine","",""
"Q3465790","TV_season","Season 1 of Star Trek: Enterprise","",""
"Q3468580","TV_season","Season 2 of Star Trek: Deep Space Nine","",""
"Q3468788","TV_season","season 3 of Star Trek: Voyager","",""
"Q3468897","TV_season","Season 4 of Star Trek: Deep Space Nine","",""
"Q3730022","TV_season","season 5 of Star Trek: Deep Space Nine","",""
"Q3730026","TV_season","Season 7 of Star Trek: Deep Space Nine","",""
"Q3730029","TV_season","season 4 of Star Trek: Voyager","",""
"Q3730034","TV_season","Season 2 Star Trek episodes","",""
"Q3730036","TV_season","Season 1 of Star Trek","",""
"Q610142","TV_season","Season 3 of Star Trek: Enterprise","",""
"Q664160","TV_season","Season 2 of Star Trek: Enterprise","",""
"Q3465791","TV_season","Season 1 of Star Trek: Voyager","",""
"Q3468578","TV_season","season 2 of Star Trek","",""
"Q3468582","TV_season","Season 2 of Star Trek: Voyager","",""
"Q3468783","TV_season","season 3 of Star Trek","",""
"Q3468790","TV_season","Star Trek: The Next Generation","",""
"Q3730030","TV_season","season 5 of Star Trek: Voyager","",""
"Q3730033","TV_season","Season 7 of Star Trek: Voyager","",""
"Q747598","TV_season","season 1 of Star Trek","",""
"Q3468901","TV_season","Season 4 of Star Trek: The Next Generation","",""
"Q3469077","TV_season","Season 7 of Star Trek: The Next Generation","",""
"Q17063005","TV_season","Star Trek: The Animated Series","",""
"Q604559","TV_season","Star Trek: The Next Generation","",""
"Q733620","TV_season","Season 6 of Star Trek: The Next Generation","",""
"Q978153","TV_season","Star Trek: The Next Generation","",""
"Q3468785","TV_season","Season 3 of Star Trek: Deep Space Nine","",""
"Q3468898","TV_season","Season 4 of Star Trek: Enterprise","",""
"Q3468983","TV_season","season 5 of Star Trek: The Next Generation","",""
"Q3730032","TV_season","Season 6 of Star Trek: Voyager","",""
"Q5204631","TV_season","Season 1 of Star Trek: Deep Space Nine","",""
"Q17063010","TV_season","Star Trek: The Animated Series","",""
"Q461787","TV_season","Season 6 of Star Trek: Deep Space Nine","",""
"Q3465790","TV_season","Season 1 of Star Trek: Enterprise","",""
"Q3468580","TV_season","Season 2 of Star Trek: Deep Space Nine","",""
"Q3468788","TV_season","season 3 of Star Trek: Voyager","",""
"Q3468897","TV_season","Season 4 of Star Trek: Deep Space Nine","",""
"Q3730022","TV_season","season 5 of Star Trek: Deep Space Nine","",""
"Q3730026","TV_season","Season 7 of Star Trek: Deep Space Nine","",""
"Q3730029","TV_season","season 4 of Star Trek: Voyager","",""
"Q3730034","TV_season","Season 2 Star Trek episodes","",""
"Q3730036","TV_season","Season 1 of Star Trek","",""
