"id","type","name","date","country"
"Q380519","TV_series","Star Trek: Enterprise","",""
"Q108774","TV_series","Star Trek: Deep Space Nine","",""
"Q16290","TV_series","Star Trek: The Next Generation","",""
"Q156329","TV_series","Star Trek: Voyager","",""
"Q1077","TV_series","Star Trek: The Original Series","",""
"Q20922","TV_series","Star Trek: The Animated Series","","1973-01-01"
"Q380519","TV_series","Star Trek: Enterprise","",""
"Q108774","TV_series","Star Trek: Deep Space Nine","",""
"Q16290","TV_series","Star Trek: The Next Generation","",""
"Q156329","TV_series","Star Trek: Voyager","",""
"Q1077","TV_series","Star Trek: The Original Series","",""
