"id","type","name","date","country"
"Q3496990","Video_game","Star Trek: Starfleet Academy Starship Bridge Simulator","",""
"Q3496992","Video_game","Star Trek","",""
"Q3824662","Video_game","Star Trek: Starship Creator","",""
"Q3968313","Video_game","Star Trek: 25th Anniversary","","1992-01-01"
"Q3968317","Video_game","Star Trek: Starfleet Command II: Empires at War","","2000-12-20"
"Q3968320","Video_game","Star Trek: The Next Generation: Klingon Honor Guard","","1998-02-09"
"Q7600953","Video_game","Star Trek: 25th Anniversary","",""
"Q7600956","Video_game","Star Trek: Away Team","","2001-03-20"
"Q7601000","Video_game","Star Trek: Tactical Assault","","2006-11-14"
"Q7601014","Video_game","Star Trek: The Next Generation: A World For All Seasons","",""
"Q7601016","Video_game","Star Trek: The Next Generation","",""
"Q7601016","Video_game","Star Trek: The Next Generation","",""
"Q7601027","Video_game","Star Trek: Voyager – The Arcade Game","","2001-01-01"
"Q7601040","Video_game","Star Trek Generations","","1997-01-01"
"Q646696","Video_game","Star Trek: Legacy","","2013-10-20"
"Q678656","Video_game","Star Trek: Armada II","","2001-11-16"
"Q3968319","Video_game","Star Trek: Starfleet Command: Orion Pirates","","2001-07-01"
"Q7600963","Video_game","Star Trek: Conquest","","2007-11-20"
"Q7600968","Video_game","Star Trek: Deep Space Nine: Harbinger","","1996-01-01"
"Q7600975","Video_game","Star Trek: Encounters","","2006-10-04"
"Q7600978","Video_game","Star Trek: Judgment Rites","",""
"Q7600998","Video_game","Star Trek: Starship Creator Warp II","","2000-06-12"
"Q7601023","Video_game","Star Trek: The Promethean Prophecy","","1986-01-01"
"Q7601024","Video_game","Star Trek: The Rebel Universe","","1987-01-01"
"Q254463","Video_game","Star Trek: Armada","","2000-02-29"
"Q584232","Video_game","Star Trek: Klingon","",""
"Q662253","Video_game","Star Trek","","1971-01-01"
"Q831478","Video_game","Star Trek: Bridge Commander","","2002-02-27"
"Q1115005","Video_game","Star Trek: Elite Force II","","2003-06-20"
"Q1143426","Video_game","Star Trek Online","","2010-02-02"
"Q1474668","Video_game","Star Trek: The Next Generation: Birth of the Federation","","1999-05-25"
"Q1766193","Video_game","Star Trek: 25th Anniversary","",""
"Q3496991","Video_game","Star Trek: The Next Generation","","1994-01-01"
"Q3825149","Video_game","Star Trek DAC","","2009-05-13"
"Q3968318","Video_game","Star Trek: Starfleet Command III","","2002-01-01"
"Q3968321","Video_game","List of minor Apogee Software video games","","1989-01-01"
"Q7600959","Video_game","Star Trek: Borg","","1996-10-31"
"Q7600962","Video_game","Star Trek: ConQuest Online","","2000-06-20"
"Q7600965","Video_game","Star Trek: Deep Space Nine: Dominion Wars","","2001-06-12"
"Q7600987","Video_game","Star Trek: New Worlds","","2000-09-07"
"Q7600994","Video_game","Star Trek: Shattered Universe","",""
"Q7601004","Video_game","Star Trek: The Kobayashi Alternative","",""
"Q7601015","Video_game","Star Trek: The Next Generation","",""
"Q7601031","Video_game","Star Trek","","2013-04-23"
"Q16248700","Video_game","Star Trek Generations: Beyond the Nexus","","1994-12-31"
"Q936657","Video_game","Star Trek: Starfleet Command","","1999-07-31"
"Q1165846","Video_game","Star Trek: Klingon Academy","","2000-06-21"
"Q2517411","Video_game","Star Trek: Voyager – Elite Force","","2000-09-15"
"Q3496996","Video_game","Star Trek: Hidden Evil","","1999-11-01"
