"source id","target id","label"
"Q6080488","Q6407763","book_followed_by"
"Q7460439","Q5134744","book_followed_by"
"Q7499937","Q7991352","book_followed_by"
"Q7647331","Q7623802","book_followed_by"
"Q4676506","Q7959651","book_followed_by"
"Q4883696","Q7370868","book_followed_by"
"Q5208164","Q5208158","book_followed_by"
"Q7601010","Q7732318","book_followed_by"
"Q5134744","Q4670734","book_followed_by"
"Q5256286","Q4873254","book_followed_by"
"Q6407763","Q5318075","book_followed_by"
"Q7784253","Q5068942","book_followed_by"
"Q7837949","Q8036508","book_followed_by"
"Q7840052","Q7978609","book_followed_by"
"Q15034077","Q7379028","book_followed_by"
"Q5299565","Q7728306","book_followed_by"
"Q7379028","Q7755986","book_followed_by"
"Q6080488","Q6407763","book_followed_by"
"Q7460439","Q5134744","book_followed_by"
"Q7499937","Q7991352","book_followed_by"
"Q7647331","Q7623802","book_followed_by"
"Q4676506","Q7959651","book_followed_by"
"Q4883696","Q7370868","book_followed_by"
"Q5208164","Q5208158","book_followed_by"
"Q7601010","Q7732318","book_followed_by"
"Q5134744","Q4670734","book_followed_by"
"Q5256286","Q4873254","book_followed_by"
"Q6407763","Q5318075","book_followed_by"
"Q7784253","Q5068942","book_followed_by"
"Q7837949","Q8036508","book_followed_by"
"Q7840052","Q7978609","book_followed_by"
"Q15034077","Q7379028","book_followed_by"
"Q5299565","Q7728306","book_followed_by"
"Q7379028","Q7755986","book_followed_by"
