"source id","target id","label"
"Q5306756","Q5250158","book_follows"
"Q7499937","Q5003851","book_follows"
"Q4883696","Q7959651","book_follows"
"Q5208164","Q7732812","book_follows"
"Q4670734","Q5134744","book_follows"
"Q5134744","Q7460439","book_follows"
"Q5256286","Q5306225","book_follows"
"Q6407763","Q6080488","book_follows"
"Q7784253","Q7734353","book_follows"
"Q7840052","Q4920769","book_follows"
"Q15034077","Q7728306","book_follows"
"Q5299565","Q7943453","book_follows"
"Q7301411","Q7637917","book_follows"
"Q7379028","Q15034077","book_follows"
"Q5306756","Q5250158","book_follows"
"Q7499937","Q5003851","book_follows"
"Q4883696","Q7959651","book_follows"
"Q5208164","Q7732812","book_follows"
"Q4670734","Q5134744","book_follows"
"Q5134744","Q7460439","book_follows"
"Q5256286","Q5306225","book_follows"
"Q6407763","Q6080488","book_follows"
"Q7784253","Q7734353","book_follows"
"Q7840052","Q4920769","book_follows"
"Q15034077","Q7728306","book_follows"
"Q5299565","Q7943453","book_follows"
"Q7301411","Q7637917","book_follows"
"Q7379028","Q15034077","book_follows"
