"source id","target id","label"
"Q4849966","Q16290","book_series"
"Q5306756","Q1077","book_series"
"Q6080488","Q1077","book_series"
"Q7460439","Q7600992","book_series"
"Q7460439","Q156329","book_series"
"Q7499937","Q380519","book_series"
"Q4676506","Q1077","book_series"
"Q4883696","Q1077","book_series"
"Q5208164","Q380519","book_series"
"Q7601010","Q1077","book_series"
"Q7733475","Q156329","book_series"
"Q7919602","Q16290","book_series"
"Q4670734","Q7600992","book_series"
"Q4670734","Q108774","book_series"
"Q5134744","Q7600992","book_series"
"Q5134744","Q1077","book_series"
"Q5256286","Q1077","book_series"
"Q6407763","Q1077","book_series"
"Q7784253","Q1077","book_series"
"Q7840052","Q1077","book_series"
"Q4898202","Q108774","book_series"
"Q5299565","Q1077","book_series"
"Q7201186","Q16290","book_series"
"Q7379028","Q1077","book_series"
"Q4849966","Q16290","book_series"
"Q5306756","Q1077","book_series"
"Q6080488","Q1077","book_series"
"Q7460439","Q7600992","book_series"
"Q7460439","Q156329","book_series"
"Q7499937","Q380519","book_series"
"Q4676506","Q1077","book_series"
"Q4883696","Q1077","book_series"
"Q5208164","Q380519","book_series"
"Q7601010","Q1077","book_series"
"Q7733475","Q156329","book_series"
"Q7919602","Q16290","book_series"
"Q4670734","Q7600992","book_series"
"Q4670734","Q108774","book_series"
"Q5134744","Q7600992","book_series"
"Q5134744","Q1077","book_series"
"Q5256286","Q1077","book_series"
"Q6407763","Q1077","book_series"
"Q7784253","Q1077","book_series"
"Q7840052","Q1077","book_series"
"Q4898202","Q108774","book_series"
"Q5299565","Q1077","book_series"
"Q7201186","Q16290","book_series"
"Q7379028","Q1077","book_series"
