"source id","target id","label"
"Q25366","Q1187077","episode_followed_by"
"Q25366","Q2984478","episode_followed_by"
"Q125917","Q4825905","episode_followed_by"
"Q426790","Q3488835","episode_followed_by"
"Q471896","Q16744174","episode_followed_by"
"Q520622","Q3487115","episode_followed_by"
"Q722293","Q5231126","episode_followed_by"
"Q744652","Q2524188","episode_followed_by"
"Q897951","Q5944738","episode_followed_by"
"Q981113","Q926323","episode_followed_by"
"Q1016685","Q5422700","episode_followed_by"
"Q1027348","Q1185745","episode_followed_by"
"Q1027877","Q1092502","episode_followed_by"
"Q1058477","Q3441905","episode_followed_by"
"Q1092502","Q7562328","episode_followed_by"
"Q1136071","Q3487187","episode_followed_by"
"Q1136084","Q3488463","episode_followed_by"
"Q1315800","Q3488859","episode_followed_by"
"Q1392472","Q3444400","episode_followed_by"
"Q1847020","Q1935547","episode_followed_by"
"Q1916626","Q2620129","episode_followed_by"
"Q2004297","Q2843483","episode_followed_by"
"Q2139300","Q2465692","episode_followed_by"
"Q2153354","Q5230255","episode_followed_by"
"Q2313211","Q2134825","episode_followed_by"
"Q2342342","Q2955489","episode_followed_by"
"Q2390392","Q2139300","episode_followed_by"
"Q2406293","Q3178411","episode_followed_by"
"Q2787702","Q2313211","episode_followed_by"
"Q2915551","Q7804770","episode_followed_by"
"Q2984478","Q2984502","episode_followed_by"
"Q2996346","Q3018316","episode_followed_by"
"Q3177080","Q4658162","episode_followed_by"
"Q3204716","Q3205380","episode_followed_by"
"Q3280032","Q1058477","episode_followed_by"
"Q3441834","Q3444395","episode_followed_by"
"Q3441887","Q3444382","episode_followed_by"
"Q3441896","Q3441900","episode_followed_by"
"Q3441900","Q3444506","episode_followed_by"
"Q3444409","Q3441864","episode_followed_by"
"Q3444506","Q3507037","episode_followed_by"
"Q3444506","Q3444444","episode_followed_by"
"Q3445450","Q3444454","episode_followed_by"
"Q3487137","Q1136084","episode_followed_by"
"Q3487169","Q3487477","episode_followed_by"
"Q3487385","Q3488439","episode_followed_by"
"Q3487409","Q3488866","episode_followed_by"
"Q3487421","Q5221208","episode_followed_by"
"Q3487430","Q5251718","episode_followed_by"
"Q3487499","Q3488820","episode_followed_by"
"Q3488439","Q3488452","episode_followed_by"
"Q3488474","Q3487169","episode_followed_by"
"Q3488808","Q3487409","episode_followed_by"
"Q3488820","Q3488489","episode_followed_by"
"Q3488835","Q3487379","episode_followed_by"
"Q3488866","Q3487448","episode_followed_by"
"Q3496188","Q7525019","episode_followed_by"
