"source id","target id","label"
"Q25366","Q747598","episode_part_of"
"Q125917","Q3730033","episode_part_of"
"Q426790","Q3468578","episode_part_of"
"Q471896","Q461787","episode_part_of"
"Q520622","Q3468578","episode_part_of"
"Q722293","Q3468790","episode_part_of"
"Q722293","Q3468901","episode_part_of"
"Q744652","Q3465790","episode_part_of"
"Q796793","Q3469077","episode_part_of"
"Q897951","Q3730029","episode_part_of"
"Q981113","Q747598","episode_part_of"
"Q1016685","Q3465791","episode_part_of"
"Q1027348","Q664160","episode_part_of"
"Q1027877","Q3468897","episode_part_of"
"Q1058477","Q978153","episode_part_of"
"Q1092502","Q3468897","episode_part_of"
"Q1136071","Q3468578","episode_part_of"
"Q1136084","Q3468578","episode_part_of"
"Q1315800","Q747598","episode_part_of"
"Q1392472","Q978153","episode_part_of"
"Q1847020","Q664160","episode_part_of"
"Q1916626","Q664160","episode_part_of"
"Q2004297","Q664160","episode_part_of"
"Q2139300","Q3465790","episode_part_of"
"Q2153354","Q610142","episode_part_of"
"Q2313211","Q3465790","episode_part_of"
"Q2342342","Q664160","episode_part_of"
"Q2390392","Q3465790","episode_part_of"
"Q2406293","Q747598","episode_part_of"
"Q2787702","Q3465790","episode_part_of"
"Q2915551","Q3468983","episode_part_of"
"Q2984478","Q747598","episode_part_of"
"Q2996346","Q610142","episode_part_of"
"Q3177080","Q3468790","episode_part_of"
"Q3204716","Q610142","episode_part_of"
"Q3280032","Q978153","episode_part_of"
"Q3441834","Q978153","episode_part_of"
"Q3441887","Q604559","episode_part_of"
"Q3441896","Q604559","episode_part_of"
"Q3441900","Q604559","episode_part_of"
"Q3444409","Q604559","episode_part_of"
"Q3444506","Q604559","episode_part_of"
"Q3445450","Q978153","episode_part_of"
"Q3487137","Q3468578","episode_part_of"
"Q3487169","Q3468578","episode_part_of"
"Q3487385","Q3468783","episode_part_of"
"Q3487409","Q3468783","episode_part_of"
"Q3487421","Q747598","episode_part_of"
"Q3487430","Q747598","episode_part_of"
"Q3487499","Q3468578","episode_part_of"
"Q3488439","Q3468783","episode_part_of"
"Q3488474","Q3468578","episode_part_of"
"Q3488808","Q3468783","episode_part_of"
"Q3488820","Q3468783","episode_part_of"
"Q3488835","Q3468578","episode_part_of"
"Q3488866","Q3468783","episode_part_of"
"Q3496188","Q3468790","episode_part_of"
"Q3506608","Q3468783","episode_part_of"
"Q3506645","Q604559","episode_part_of"
"Q3506721","Q3468783","episode_part_of"
"Q3507014","Q3468783","episode_part_of"
"Q3507065","Q3468783","episode_part_of"
"Q3514952","Q3468788","episode_part_of"
"Q3549975","Q3730032","episode_part_of"
"Q3549975","Q3730033","episode_part_of"
"Q3562193","Q3468783","episode_part_of"
"Q3615297","Q610142","episode_part_of"
"Q4545107","Q3730022","episode_part_of"
"Q4547735","Q3730030","episode_part_of"
"Q4658168","Q3468983","episode_part_of"
"Q4747498","Q3468578","episode_part_of"
"Q4782889","Q733620","episode_part_of"
"Q4925626","Q3730022","episode_part_of"
"Q4927657","Q3468580","episode_part_of"
"Q4927975","Q3469077","episode_part_of"
"Q4944660","Q3468898","episode_part_of"
"Q5038249","Q3468580","episode_part_of"
"Q5106979","Q3468783","episode_part_of"
"Q5142384","Q3468898","episode_part_of"
"Q5166046","Q3468983","episode_part_of"
"Q5188759","Q3468580","episode_part_of"
"Q5230255","Q610142","episode_part_of"
"Q5242724","Q5204631","episode_part_of"
"Q5242932","Q3730029","episode_part_of"
"Q5256284","Q3468898","episode_part_of"
"Q5265257","Q3468785","episode_part_of"
"Q5282901","Q3468788","episode_part_of"
"Q5305068","Q3730032","episode_part_of"
"Q5370534","Q3469077","episode_part_of"
"Q5374391","Q3730022","episode_part_of"
"Q5376099","Q3730033","episode_part_of"
"Q5380005","Q3468983","episode_part_of"
"Q5421397","Q3468785","episode_part_of"
"Q5422685","Q3469077","episode_part_of"
"Q5428534","Q3468785","episode_part_of"
"Q5438625","Q3468788","episode_part_of"
"Q5452876","Q3468901","episode_part_of"
"Q5519638","Q3469077","episode_part_of"
"Q6002452","Q3468983","episode_part_of"
"Q6006311","Q3730033","episode_part_of"
"Q6414725","Q3468898","episode_part_of"
"Q6725235","Q3468788","episode_part_of"
"Q6746424","Q733620","episode_part_of"
"Q6812079","Q3468582","episode_part_of"
"Q6926483","Q5204631","episode_part_of"
"Q6991120","Q3730029","episode_part_of"
"Q7092425","Q3730029","episode_part_of"
"Q7093205","Q3730032","episode_part_of"
"Q7134227","Q3468580","episode_part_of"
"Q7140870","Q3468582","episode_part_of"
"Q7162099","Q604559","episode_part_of"
"Q7236386","Q3468983","episode_part_of"
"Q7242454","Q3730029","episode_part_of"
"Q7243264","Q3465791","episode_part_of"
"Q7248297","Q461787","episode_part_of"
"Q7252175","Q3468582","episode_part_of"
"Q7311642","Q3468788","episode_part_of"
"Q7311668","Q3468901","episode_part_of"
"Q7314269","Q3730033","episode_part_of"
"Q7397363","Q461787","episode_part_of"
"Q7415701","Q3468580","episode_part_of"
"Q7423845","Q3468790","episode_part_of"
"Q7460758","Q3468580","episode_part_of"
"Q7525019","Q3468790","episode_part_of"
"Q7557432","Q3730022","episode_part_of"
"Q7562328","Q3468897","episode_part_of"
"Q7602415","Q3468897","episode_part_of"
"Q7603745","Q3465791","episode_part_of"
"Q7604375","Q461787","episode_part_of"
"Q7630674","Q3469077","episode_part_of"
"Q7649264","Q733620","episode_part_of"
"Q7677716","Q3730026","episode_part_of"
"Q7703141","Q3468898","episode_part_of"
"Q7711875","Q3468582","episode_part_of"
"Q7712075","Q3468785","episode_part_of"
"Q7714639","Q3730022","episode_part_of"
"Q7714714","Q3730022","episode_part_of"
"Q7726666","Q3468580","episode_part_of"
"Q7727741","Q610142","episode_part_of"
"Q7730324","Q3730030","episode_part_of"
"Q7735700","Q3468983","episode_part_of"
"Q7739598","Q3468790","episode_part_of"
"Q7741062","Q3468790","episode_part_of"
"Q7750621","Q3468983","episode_part_of"
"Q7751507","Q3468901","episode_part_of"
"Q7752695","Q3468897","episode_part_of"
"Q7755633","Q3468983","episode_part_of"
"Q7758878","Q733620","episode_part_of"
"Q7767762","Q3468897","episode_part_of"
"Q7772167","Q3468790","episode_part_of"
"Q7775217","Q3468580","episode_part_of"
"Q7798098","Q3468582","episode_part_of"
"Q7806584","Q733620","episode_part_of"
"Q7808311","Q3730032","episode_part_of"
"Q7850228","Q3730032","episode_part_of"
"Q7857147","Q3468582","episode_part_of"
"Q7935331","Q3730029","episode_part_of"
"Q7961167","Q3730029","episode_part_of"
"Q8563741","Q3730033","episode_part_of"
"Q11863377","Q3468785","episode_part_of"
"Q12031611","Q3468580","episode_part_of"
"Q12041709","Q3468580","episode_part_of"
"Q13115914","Q3468582","episode_part_of"
"Q13403516","Q3730032","episode_part_of"
"Q13639300","Q3465791","episode_part_of"
"Q14045941","Q3468901","episode_part_of"
"Q16743891","Q3468983","episode_part_of"
"Q16744047","Q3468901","episode_part_of"
"Q16744174","Q461787","episode_part_of"
"Q16744191","Q3730033","episode_part_of"
"Q370412","Q3468582","episode_part_of"
"Q390014","Q733620","episode_part_of"
"Q390014","Q3469077","episode_part_of"
"Q602046","Q664160","episode_part_of"
"Q722470","Q3468790","episode_part_of"
