"source id","target id","label"
"Q20963","Q20922","episode_series"
"Q25366","Q1077","episode_series"
"Q125917","Q156329","episode_series"
"Q426790","Q1077","episode_series"
"Q471896","Q108774","episode_series"
"Q520622","Q1077","episode_series"
"Q722293","Q16290","episode_series"
"Q744652","Q380519","episode_series"
"Q796793","Q16290","episode_series"
"Q897951","Q156329","episode_series"
"Q981113","Q1077","episode_series"
"Q1016685","Q156329","episode_series"
"Q1027348","Q380519","episode_series"
"Q1027877","Q108774","episode_series"
"Q1058477","Q16290","episode_series"
"Q1092502","Q108774","episode_series"
"Q1136071","Q1077","episode_series"
"Q1136084","Q1077","episode_series"
"Q1315800","Q1077","episode_series"
"Q1392472","Q16290","episode_series"
"Q1847020","Q380519","episode_series"
"Q1916626","Q380519","episode_series"
"Q2004297","Q380519","episode_series"
"Q2139300","Q380519","episode_series"
"Q2153354","Q380519","episode_series"
"Q2313211","Q380519","episode_series"
"Q2342342","Q380519","episode_series"
"Q2390392","Q380519","episode_series"
"Q2406293","Q1077","episode_series"
"Q2787702","Q380519","episode_series"
"Q2915551","Q16290","episode_series"
"Q2984478","Q1077","episode_series"
"Q2996346","Q380519","episode_series"
"Q3177080","Q16290","episode_series"
"Q3204716","Q380519","episode_series"
"Q3280032","Q16290","episode_series"
"Q3441834","Q16290","episode_series"
"Q3441887","Q16290","episode_series"
"Q3441896","Q16290","episode_series"
"Q3441900","Q16290","episode_series"
"Q3444409","Q16290","episode_series"
"Q3444506","Q16290","episode_series"
"Q3445450","Q16290","episode_series"
"Q3487137","Q1077","episode_series"
"Q3487169","Q1077","episode_series"
"Q3487385","Q1077","episode_series"
"Q3487409","Q1077","episode_series"
"Q3487421","Q1077","episode_series"
"Q3487430","Q1077","episode_series"
"Q3487499","Q1077","episode_series"
"Q3488439","Q1077","episode_series"
"Q3488474","Q1077","episode_series"
"Q3488808","Q1077","episode_series"
"Q3488820","Q1077","episode_series"
"Q3488835","Q1077","episode_series"
"Q3488866","Q1077","episode_series"
"Q3496188","Q16290","episode_series"
"Q3499742","Q20922","episode_series"
"Q3506608","Q1077","episode_series"
"Q3506645","Q16290","episode_series"
"Q3506721","Q1077","episode_series"
"Q3507014","Q1077","episode_series"
"Q3507065","Q1077","episode_series"
"Q3514952","Q156329","episode_series"
"Q3549975","Q156329","episode_series"
"Q3562193","Q1077","episode_series"
"Q3615297","Q380519","episode_series"
"Q4545107","Q108774","episode_series"
"Q4547735","Q156329","episode_series"
"Q4658168","Q16290","episode_series"
"Q4747498","Q1077","episode_series"
"Q4782889","Q16290","episode_series"
"Q4925626","Q108774","episode_series"
"Q4927657","Q108774","episode_series"
"Q4927975","Q16290","episode_series"
"Q4944660","Q380519","episode_series"
"Q5038249","Q108774","episode_series"
"Q5106979","Q1077","episode_series"
"Q5142384","Q380519","episode_series"
"Q5166046","Q16290","episode_series"
"Q5188759","Q108774","episode_series"
"Q5230255","Q380519","episode_series"
"Q5242724","Q108774","episode_series"
"Q5242932","Q156329","episode_series"
"Q5256284","Q380519","episode_series"
"Q5265257","Q108774","episode_series"
"Q5282901","Q156329","episode_series"
"Q5305068","Q156329","episode_series"
"Q5370534","Q16290","episode_series"
"Q5374391","Q108774","episode_series"
"Q5376099","Q156329","episode_series"
"Q5380005","Q16290","episode_series"
"Q5421397","Q108774","episode_series"
"Q5422685","Q16290","episode_series"
"Q5428534","Q108774","episode_series"
"Q5438625","Q156329","episode_series"
"Q5452876","Q16290","episode_series"
"Q5519638","Q16290","episode_series"
"Q5918105","Q20922","episode_series"
"Q6002452","Q16290","episode_series"
"Q6006311","Q156329","episode_series"
"Q6414725","Q380519","episode_series"
"Q6725235","Q156329","episode_series"
"Q6746424","Q16290","episode_series"
"Q6812079","Q156329","episode_series"
"Q6926483","Q108774","episode_series"
"Q6931590","Q20922","episode_series"
"Q6991120","Q156329","episode_series"
"Q7092425","Q156329","episode_series"
"Q7093205","Q156329","episode_series"
"Q7134227","Q108774","episode_series"
"Q7140870","Q156329","episode_series"
"Q7162099","Q16290","episode_series"
"Q7236386","Q16290","episode_series"
"Q7242454","Q156329","episode_series"
"Q7243264","Q156329","episode_series"
"Q7248297","Q108774","episode_series"
"Q7252175","Q156329","episode_series"
"Q7311642","Q156329","episode_series"
"Q7311668","Q16290","episode_series"
"Q7314269","Q156329","episode_series"
"Q7397363","Q108774","episode_series"
"Q7415701","Q108774","episode_series"
"Q7423845","Q16290","episode_series"
"Q7460758","Q108774","episode_series"
"Q7525019","Q16290","episode_series"
"Q7557432","Q108774","episode_series"
"Q7562328","Q108774","episode_series"
"Q7602415","Q108774","episode_series"
"Q7603745","Q156329","episode_series"
"Q7604375","Q108774","episode_series"
"Q7630674","Q16290","episode_series"
"Q7649264","Q16290","episode_series"
"Q7677716","Q108774","episode_series"
"Q7703141","Q380519","episode_series"
"Q7711875","Q156329","episode_series"
"Q7712075","Q108774","episode_series"
"Q7714639","Q108774","episode_series"
"Q7714714","Q108774","episode_series"
"Q7726666","Q108774","episode_series"
"Q7727741","Q380519","episode_series"
"Q7730324","Q156329","episode_series"
"Q7735700","Q16290","episode_series"
"Q7739598","Q16290","episode_series"
"Q7741062","Q16290","episode_series"
"Q7750621","Q16290","episode_series"
"Q7751507","Q16290","episode_series"
"Q7752695","Q108774","episode_series"
"Q7755633","Q16290","episode_series"
"Q7757264","Q20922","episode_series"
"Q7758878","Q16290","episode_series"
"Q7767762","Q108774","episode_series"
"Q7772167","Q16290","episode_series"
"Q7775217","Q108774","episode_series"
"Q7798098","Q156329","episode_series"
"Q7806584","Q16290","episode_series"
"Q7808311","Q156329","episode_series"
"Q7850228","Q156329","episode_series"
"Q7857147","Q156329","episode_series"
"Q7935331","Q156329","episode_series"
"Q7961167","Q156329","episode_series"
"Q8563741","Q156329","episode_series"
"Q11863377","Q108774","episode_series"
"Q12031611","Q108774","episode_series"
"Q12041709","Q108774","episode_series"
"Q13115914","Q156329","episode_series"
"Q13403516","Q156329","episode_series"
"Q13639300","Q156329","episode_series"
"Q14045941","Q16290","episode_series"
"Q16743891","Q16290","episode_series"
"Q16744047","Q16290","episode_series"
"Q16744174","Q108774","episode_series"
"Q16744191","Q156329","episode_series"
"Q370412","Q156329","episode_series"
"Q390014","Q16290","episode_series"
"Q602046","Q380519","episode_series"
"Q722470","Q16290","episode_series"
"Q861673","Q380519","episode_series"
"Q861686","Q380519","episode_series"
"Q926323","Q1077","episode_series"
"Q1102231","Q16290","episode_series"
"Q1287667","Q1077","episode_series"
"Q1860938","Q380519","episode_series"
"Q1967172","Q380519","episode_series"
"Q1975616","Q380519","episode_series"
"Q1976840","Q156329","episode_series"
"Q2086809","Q380519","episode_series"
"Q2122661","Q380519","episode_series"
"Q2133397","Q380519","episode_series"
"Q2213032","Q380519","episode_series"
"Q2402314","Q380519","episode_series"
"Q2469115","Q380519","episode_series"
"Q2528593","Q380519","episode_series"
"Q2606256","Q380519","episode_series"
"Q2646751","Q380519","episode_series"
"Q2659593","Q1077","episode_series"
"Q2674495","Q380519","episode_series"
"Q2743075","Q380519","episode_series"
"Q2798685","Q380519","episode_series"
"Q2836506","Q16290","episode_series"
"Q2955489","Q380519","episode_series"
"Q2984502","Q1077","episode_series"
"Q3060753","Q380519","episode_series"
"Q3178411","Q1077","episode_series"
"Q3231795","Q16290","episode_series"
"Q3435698","Q16290","episode_series"
"Q3441864","Q16290","episode_series"
"Q3441905","Q16290","episode_series"
"Q3444361","Q16290","episode_series"
"Q3444382","Q16290","episode_series"
"Q3487115","Q1077","episode_series"
"Q3487125","Q1077","episode_series"
"Q3487395","Q1077","episode_series"
"Q3487426","Q1077","episode_series"
"Q3488452","Q1077","episode_series"
"Q3488816","Q1077","episode_series"
"Q3488859","Q1077","episode_series"
"Q3488875","Q1077","episode_series"
"Q3496861","Q16290","episode_series"
"Q3506683","Q1077","episode_series"
"Q3506698","Q1077","episode_series"
"Q3507037","Q16290","episode_series"
"Q3507056","Q108774","episode_series"
"Q3507140","Q108774","episode_series"
