"source id","target id","label"
"Q241218","Q1092","film_based_on"
"Q388319","Q1092","film_based_on"
"Q673198","Q1092","film_based_on"
"Q107940","Q1092","film_based_on"
"Q171711","Q1092","film_based_on"
"Q213081","Q1092","film_based_on"
"Q465478","Q1092","film_based_on"
"Q465478","Q5251718","film_based_on"
"Q20023116","Q1092","film_based_on"
"Q723679","Q1092","film_based_on"
"Q241218","Q1092","film_based_on"
"Q388319","Q1092","film_based_on"
"Q673198","Q1092","film_based_on"
"Q107940","Q1092","film_based_on"
"Q171711","Q1092","film_based_on"
"Q213081","Q1092","film_based_on"
"Q465478","Q1092","film_based_on"
"Q465478","Q5251718","film_based_on"
"Q20023116","Q1092","film_based_on"
"Q723679","Q1092","film_based_on"
"Q241218","Q1092","film_based_on"
"Q388319","Q1092","film_based_on"
"Q673198","Q1092","film_based_on"
"Q107940","Q1092","film_based_on"
"Q171711","Q1092","film_based_on"
"Q213081","Q1092","film_based_on"
"Q465478","Q1092","film_based_on"
"Q465478","Q5251718","film_based_on"
"Q20023116","Q1092","film_based_on"
"Q723679","Q1092","film_based_on"
"Q241218","Q1092","film_based_on"
"Q388319","Q1092","film_based_on"
"Q673198","Q1092","film_based_on"
"Q107940","Q1092","film_based_on"
"Q171711","Q1092","film_based_on"
"Q213081","Q1092","film_based_on"
"Q465478","Q1092","film_based_on"
"Q465478","Q5251718","film_based_on"
"Q20023116","Q1092","film_based_on"
"Q723679","Q1092","film_based_on"
