"source id","target id","label"
"Q241218","Q579757","film_followed_by"
"Q388319","Q213081","film_followed_by"
"Q471842","Q241218","film_followed_by"
"Q673198","Q388319","film_followed_by"
"Q221236","Q673198","film_followed_by"
"Q221305","Q471842","film_followed_by"
"Q107940","Q465478","film_followed_by"
"Q171711","Q20023116","film_followed_by"
"Q213081","Q171711","film_followed_by"
"Q465478","Q221305","film_followed_by"
"Q723679","Q221236","film_followed_by"
"Q241218","Q579757","film_followed_by"
"Q388319","Q213081","film_followed_by"
"Q471842","Q241218","film_followed_by"
"Q673198","Q388319","film_followed_by"
"Q221236","Q673198","film_followed_by"
"Q221305","Q471842","film_followed_by"
"Q107940","Q465478","film_followed_by"
"Q171711","Q20023116","film_followed_by"
"Q213081","Q171711","film_followed_by"
"Q465478","Q221305","film_followed_by"
"Q723679","Q221236","film_followed_by"
