"source id","target id","label"
"Q241218","Q471842","film_follows"
"Q388319","Q673198","film_follows"
"Q471842","Q221305","film_follows"
"Q673198","Q221236","film_follows"
"Q221236","Q723679","film_follows"
"Q221305","Q465478","film_follows"
"Q171711","Q213081","film_follows"
"Q213081","Q388319","film_follows"
"Q465478","Q107940","film_follows"
"Q20023116","Q171711","film_follows"
"Q579757","Q241218","film_follows"
"Q241218","Q471842","film_follows"
"Q388319","Q673198","film_follows"
"Q471842","Q221305","film_follows"
"Q673198","Q221236","film_follows"
"Q221236","Q723679","film_follows"
"Q221305","Q465478","film_follows"
"Q171711","Q213081","film_follows"
"Q213081","Q388319","film_follows"
"Q465478","Q107940","film_follows"
"Q20023116","Q171711","film_follows"
"Q579757","Q241218","film_follows"
