"source id","target id","label"
"Q610142","Q3468898","tv_season_followed_by"
"Q664160","Q610142","tv_season_followed_by"
"Q3465791","Q3468582","tv_season_followed_by"
"Q3468578","Q3468783","tv_season_followed_by"
"Q3468582","Q3468788","tv_season_followed_by"
"Q3468790","Q3468901","tv_season_followed_by"
"Q3730030","Q3730032","tv_season_followed_by"
"Q747598","Q3468578","tv_season_followed_by"
"Q3468901","Q3468983","tv_season_followed_by"
"Q604559","Q3468790","tv_season_followed_by"
"Q733620","Q3469077","tv_season_followed_by"
"Q978153","Q604559","tv_season_followed_by"
"Q3468785","Q3468897","tv_season_followed_by"
"Q3468983","Q733620","tv_season_followed_by"
"Q3730032","Q3730033","tv_season_followed_by"
"Q5204631","Q3468580","tv_season_followed_by"
"Q461787","Q3730026","tv_season_followed_by"
"Q3465790","Q664160","tv_season_followed_by"
"Q3468580","Q3468785","tv_season_followed_by"
"Q3468788","Q3730029","tv_season_followed_by"
"Q3468897","Q3730022","tv_season_followed_by"
"Q3730022","Q461787","tv_season_followed_by"
"Q3730029","Q3730030","tv_season_followed_by"
"Q3730036","Q3730034","tv_season_followed_by"
"Q610142","Q3468898","tv_season_followed_by"
"Q664160","Q610142","tv_season_followed_by"
"Q3465791","Q3468582","tv_season_followed_by"
"Q3468578","Q3468783","tv_season_followed_by"
"Q3468582","Q3468788","tv_season_followed_by"
"Q3468790","Q3468901","tv_season_followed_by"
"Q3730030","Q3730032","tv_season_followed_by"
"Q747598","Q3468578","tv_season_followed_by"
"Q3468901","Q3468983","tv_season_followed_by"
"Q604559","Q3468790","tv_season_followed_by"
"Q733620","Q3469077","tv_season_followed_by"
"Q978153","Q604559","tv_season_followed_by"
"Q3468785","Q3468897","tv_season_followed_by"
"Q3468983","Q733620","tv_season_followed_by"
"Q3730032","Q3730033","tv_season_followed_by"
"Q5204631","Q3468580","tv_season_followed_by"
"Q461787","Q3730026","tv_season_followed_by"
"Q3465790","Q664160","tv_season_followed_by"
"Q3468580","Q3468785","tv_season_followed_by"
"Q3468788","Q3730029","tv_season_followed_by"
"Q3468897","Q3730022","tv_season_followed_by"
"Q3730022","Q461787","tv_season_followed_by"
"Q3730029","Q3730030","tv_season_followed_by"
"Q3730036","Q3730034","tv_season_followed_by"
