"source id","target id","label"
"Q610142","Q664160","tv_season_follows"
"Q664160","Q3465790","tv_season_follows"
"Q3468578","Q747598","tv_season_follows"
"Q3468582","Q3465791","tv_season_follows"
"Q3468783","Q3468578","tv_season_follows"
"Q3468790","Q604559","tv_season_follows"
"Q3730030","Q3730029","tv_season_follows"
"Q3730033","Q3730032","tv_season_follows"
"Q3468901","Q3468790","tv_season_follows"
"Q3469077","Q733620","tv_season_follows"
"Q604559","Q978153","tv_season_follows"
"Q733620","Q3468983","tv_season_follows"
"Q3468785","Q3468580","tv_season_follows"
"Q3468898","Q610142","tv_season_follows"
"Q3468983","Q3468901","tv_season_follows"
"Q3730032","Q3730030","tv_season_follows"
"Q461787","Q3730022","tv_season_follows"
"Q3468580","Q5204631","tv_season_follows"
"Q3468788","Q3468582","tv_season_follows"
"Q3468897","Q3468785","tv_season_follows"
"Q3730022","Q3468897","tv_season_follows"
"Q3730026","Q461787","tv_season_follows"
"Q3730029","Q3468788","tv_season_follows"
"Q3730034","Q3730036","tv_season_follows"
"Q610142","Q664160","tv_season_follows"
"Q664160","Q3465790","tv_season_follows"
"Q3468578","Q747598","tv_season_follows"
"Q3468582","Q3465791","tv_season_follows"
"Q3468783","Q3468578","tv_season_follows"
"Q3468790","Q604559","tv_season_follows"
"Q3730030","Q3730029","tv_season_follows"
"Q3730033","Q3730032","tv_season_follows"
"Q3468901","Q3468790","tv_season_follows"
"Q3469077","Q733620","tv_season_follows"
"Q604559","Q978153","tv_season_follows"
"Q733620","Q3468983","tv_season_follows"
"Q3468785","Q3468580","tv_season_follows"
"Q3468898","Q610142","tv_season_follows"
"Q3468983","Q3468901","tv_season_follows"
"Q3730032","Q3730030","tv_season_follows"
"Q461787","Q3730022","tv_season_follows"
"Q3468580","Q5204631","tv_season_follows"
"Q3468788","Q3468582","tv_season_follows"
"Q3468897","Q3468785","tv_season_follows"
"Q3730022","Q3468897","tv_season_follows"
"Q3730026","Q461787","tv_season_follows"
"Q3730029","Q3468788","tv_season_follows"
"Q3730034","Q3730036","tv_season_follows"
