"source id","target id","label"
"Q610142","Q380519","tv_season_part_of"
"Q664160","Q380519","tv_season_part_of"
"Q3465791","Q156329","tv_season_part_of"
"Q3468578","Q1077","tv_season_part_of"
"Q3468582","Q156329","tv_season_part_of"
"Q3468783","Q1077","tv_season_part_of"
"Q3468790","Q16290","tv_season_part_of"
"Q3730030","Q156329","tv_season_part_of"
"Q3730033","Q156329","tv_season_part_of"
"Q747598","Q1077","tv_season_part_of"
"Q3468901","Q16290","tv_season_part_of"
"Q3469077","Q16290","tv_season_part_of"
"Q604559","Q16290","tv_season_part_of"
"Q733620","Q16290","tv_season_part_of"
"Q978153","Q16290","tv_season_part_of"
"Q3468785","Q108774","tv_season_part_of"
"Q3468898","Q380519","tv_season_part_of"
"Q3468983","Q16290","tv_season_part_of"
"Q3730032","Q156329","tv_season_part_of"
"Q5204631","Q108774","tv_season_part_of"
"Q461787","Q108774","tv_season_part_of"
"Q3465790","Q380519","tv_season_part_of"
"Q3468580","Q108774","tv_season_part_of"
"Q3468788","Q156329","tv_season_part_of"
"Q3468897","Q108774","tv_season_part_of"
"Q3730022","Q108774","tv_season_part_of"
"Q3730026","Q108774","tv_season_part_of"
"Q3730029","Q156329","tv_season_part_of"
"Q3730034","Q20922","tv_season_part_of"
"Q3730036","Q20922","tv_season_part_of"
"Q610142","Q380519","tv_season_part_of"
"Q664160","Q380519","tv_season_part_of"
"Q3465791","Q156329","tv_season_part_of"
"Q3468578","Q1077","tv_season_part_of"
"Q3468582","Q156329","tv_season_part_of"
"Q3468783","Q1077","tv_season_part_of"
"Q3468790","Q16290","tv_season_part_of"
"Q3730030","Q156329","tv_season_part_of"
"Q3730033","Q156329","tv_season_part_of"
"Q747598","Q1077","tv_season_part_of"
"Q3468901","Q16290","tv_season_part_of"
"Q3469077","Q16290","tv_season_part_of"
"Q604559","Q16290","tv_season_part_of"
"Q733620","Q16290","tv_season_part_of"
"Q978153","Q16290","tv_season_part_of"
"Q3468785","Q108774","tv_season_part_of"
"Q3468898","Q380519","tv_season_part_of"
"Q3468983","Q16290","tv_season_part_of"
"Q3730032","Q156329","tv_season_part_of"
"Q5204631","Q108774","tv_season_part_of"
"Q461787","Q108774","tv_season_part_of"
"Q3465790","Q380519","tv_season_part_of"
"Q3468580","Q108774","tv_season_part_of"
"Q3468788","Q156329","tv_season_part_of"
"Q3468897","Q108774","tv_season_part_of"
"Q3730022","Q108774","tv_season_part_of"
"Q3730026","Q108774","tv_season_part_of"
"Q3730029","Q156329","tv_season_part_of"
"Q3730034","Q20922","tv_season_part_of"
"Q3730036","Q20922","tv_season_part_of"
"Q610142","Q380519","tv_season_part_of"
"Q664160","Q380519","tv_season_part_of"
"Q3465791","Q156329","tv_season_part_of"
"Q3468578","Q1077","tv_season_part_of"
"Q3468582","Q156329","tv_season_part_of"
"Q3468783","Q1077","tv_season_part_of"
"Q3468790","Q16290","tv_season_part_of"
"Q3730030","Q156329","tv_season_part_of"
"Q3730033","Q156329","tv_season_part_of"
"Q747598","Q1077","tv_season_part_of"
"Q3468901","Q16290","tv_season_part_of"
"Q3469077","Q16290","tv_season_part_of"
"Q604559","Q16290","tv_season_part_of"
"Q733620","Q16290","tv_season_part_of"
"Q978153","Q16290","tv_season_part_of"
"Q3468785","Q108774","tv_season_part_of"
"Q3468898","Q380519","tv_season_part_of"
"Q3468983","Q16290","tv_season_part_of"
"Q3730032","Q156329","tv_season_part_of"
"Q5204631","Q108774","tv_season_part_of"
"Q461787","Q108774","tv_season_part_of"
"Q3465790","Q380519","tv_season_part_of"
"Q3468580","Q108774","tv_season_part_of"
"Q3468788","Q156329","tv_season_part_of"
"Q3468897","Q108774","tv_season_part_of"
"Q3730022","Q108774","tv_season_part_of"
"Q3730026","Q108774","tv_season_part_of"
"Q3730029","Q156329","tv_season_part_of"
"Q3730034","Q20922","tv_season_part_of"
"Q3730036","Q20922","tv_season_part_of"
"Q610142","Q380519","tv_season_part_of"
"Q664160","Q380519","tv_season_part_of"
"Q3465791","Q156329","tv_season_part_of"
"Q3468578","Q1077","tv_season_part_of"
"Q3468582","Q156329","tv_season_part_of"
"Q3468783","Q1077","tv_season_part_of"
"Q3468790","Q16290","tv_season_part_of"
"Q3730030","Q156329","tv_season_part_of"
"Q3730033","Q156329","tv_season_part_of"
"Q747598","Q1077","tv_season_part_of"
"Q3468901","Q16290","tv_season_part_of"
"Q3469077","Q16290","tv_season_part_of"
"Q604559","Q16290","tv_season_part_of"
"Q733620","Q16290","tv_season_part_of"
"Q978153","Q16290","tv_season_part_of"
"Q3468785","Q108774","tv_season_part_of"
"Q3468898","Q380519","tv_season_part_of"
"Q3468983","Q16290","tv_season_part_of"
"Q3730032","Q156329","tv_season_part_of"
"Q5204631","Q108774","tv_season_part_of"
"Q461787","Q108774","tv_season_part_of"
"Q3465790","Q380519","tv_season_part_of"
"Q3468580","Q108774","tv_season_part_of"
"Q3468788","Q156329","tv_season_part_of"
"Q3468897","Q108774","tv_season_part_of"
"Q3730022","Q108774","tv_season_part_of"
"Q3730026","Q108774","tv_season_part_of"
"Q3730029","Q156329","tv_season_part_of"
"Q3730034","Q20922","tv_season_part_of"
"Q3730036","Q20922","tv_season_part_of"
