"source id","target id","label"
"Q610142","Q380519","tv_season_series"
"Q664160","Q380519","tv_season_series"
"Q3465791","Q156329","tv_season_series"
"Q3468578","Q1077","tv_season_series"
"Q3468582","Q156329","tv_season_series"
"Q3468783","Q1077","tv_season_series"
"Q3468790","Q16290","tv_season_series"
"Q3730030","Q156329","tv_season_series"
"Q3730033","Q156329","tv_season_series"
"Q747598","Q1077","tv_season_series"
"Q3468901","Q16290","tv_season_series"
"Q3469077","Q16290","tv_season_series"
"Q604559","Q16290","tv_season_series"
"Q733620","Q16290","tv_season_series"
"Q978153","Q16290","tv_season_series"
"Q3468785","Q108774","tv_season_series"
"Q3468898","Q380519","tv_season_series"
"Q3468983","Q16290","tv_season_series"
"Q3730032","Q156329","tv_season_series"
"Q5204631","Q108774","tv_season_series"
"Q461787","Q108774","tv_season_series"
"Q3465790","Q380519","tv_season_series"
"Q3468580","Q108774","tv_season_series"
"Q3468788","Q156329","tv_season_series"
"Q3468897","Q108774","tv_season_series"
"Q3730022","Q108774","tv_season_series"
"Q3730026","Q108774","tv_season_series"
"Q3730029","Q156329","tv_season_series"
"Q3730034","Q20922","tv_season_series"
"Q3730036","Q20922","tv_season_series"
"Q610142","Q380519","tv_season_series"
"Q664160","Q380519","tv_season_series"
"Q3465791","Q156329","tv_season_series"
"Q3468578","Q1077","tv_season_series"
"Q3468582","Q156329","tv_season_series"
"Q3468783","Q1077","tv_season_series"
"Q3468790","Q16290","tv_season_series"
"Q3730030","Q156329","tv_season_series"
"Q3730033","Q156329","tv_season_series"
"Q747598","Q1077","tv_season_series"
"Q3468901","Q16290","tv_season_series"
"Q3469077","Q16290","tv_season_series"
"Q604559","Q16290","tv_season_series"
"Q733620","Q16290","tv_season_series"
"Q978153","Q16290","tv_season_series"
"Q3468785","Q108774","tv_season_series"
"Q3468898","Q380519","tv_season_series"
"Q3468983","Q16290","tv_season_series"
"Q3730032","Q156329","tv_season_series"
"Q5204631","Q108774","tv_season_series"
"Q461787","Q108774","tv_season_series"
"Q3465790","Q380519","tv_season_series"
"Q3468580","Q108774","tv_season_series"
"Q3468788","Q156329","tv_season_series"
"Q3468897","Q108774","tv_season_series"
"Q3730022","Q108774","tv_season_series"
"Q3730026","Q108774","tv_season_series"
"Q3730029","Q156329","tv_season_series"
"Q3730034","Q20922","tv_season_series"
"Q3730036","Q20922","tv_season_series"
"Q610142","Q380519","tv_season_series"
"Q664160","Q380519","tv_season_series"
"Q3465791","Q156329","tv_season_series"
"Q3468578","Q1077","tv_season_series"
"Q3468582","Q156329","tv_season_series"
"Q3468783","Q1077","tv_season_series"
"Q3468790","Q16290","tv_season_series"
"Q3730030","Q156329","tv_season_series"
"Q3730033","Q156329","tv_season_series"
"Q747598","Q1077","tv_season_series"
"Q3468901","Q16290","tv_season_series"
"Q3469077","Q16290","tv_season_series"
"Q604559","Q16290","tv_season_series"
"Q733620","Q16290","tv_season_series"
"Q978153","Q16290","tv_season_series"
"Q3468785","Q108774","tv_season_series"
"Q3468898","Q380519","tv_season_series"
"Q3468983","Q16290","tv_season_series"
"Q3730032","Q156329","tv_season_series"
"Q5204631","Q108774","tv_season_series"
"Q461787","Q108774","tv_season_series"
"Q3465790","Q380519","tv_season_series"
"Q3468580","Q108774","tv_season_series"
"Q3468788","Q156329","tv_season_series"
"Q3468897","Q108774","tv_season_series"
"Q3730022","Q108774","tv_season_series"
"Q3730026","Q108774","tv_season_series"
"Q3730029","Q156329","tv_season_series"
"Q3730034","Q20922","tv_season_series"
"Q3730036","Q20922","tv_season_series"
"Q610142","Q380519","tv_season_series"
"Q664160","Q380519","tv_season_series"
"Q3465791","Q156329","tv_season_series"
"Q3468578","Q1077","tv_season_series"
"Q3468582","Q156329","tv_season_series"
"Q3468783","Q1077","tv_season_series"
"Q3468790","Q16290","tv_season_series"
"Q3730030","Q156329","tv_season_series"
"Q3730033","Q156329","tv_season_series"
"Q747598","Q1077","tv_season_series"
"Q3468901","Q16290","tv_season_series"
"Q3469077","Q16290","tv_season_series"
"Q604559","Q16290","tv_season_series"
"Q733620","Q16290","tv_season_series"
"Q978153","Q16290","tv_season_series"
"Q3468785","Q108774","tv_season_series"
"Q3468898","Q380519","tv_season_series"
"Q3468983","Q16290","tv_season_series"
"Q3730032","Q156329","tv_season_series"
"Q5204631","Q108774","tv_season_series"
"Q461787","Q108774","tv_season_series"
"Q3465790","Q380519","tv_season_series"
"Q3468580","Q108774","tv_season_series"
"Q3468788","Q156329","tv_season_series"
"Q3468897","Q108774","tv_season_series"
"Q3730022","Q108774","tv_season_series"
"Q3730026","Q108774","tv_season_series"
"Q3730029","Q156329","tv_season_series"
"Q3730034","Q20922","tv_season_series"
"Q3730036","Q20922","tv_season_series"
