"source id","target id","label"
"Q108774","Q156329","tv_series_followed_by"
"Q16290","Q108774","tv_series_followed_by"
"Q156329","Q380519","tv_series_followed_by"
"Q1077","Q20922","tv_series_followed_by"
"Q108774","Q156329","tv_series_followed_by"
"Q16290","Q108774","tv_series_followed_by"
"Q156329","Q380519","tv_series_followed_by"
"Q1077","Q20922","tv_series_followed_by"
"Q108774","Q156329","tv_series_followed_by"
"Q16290","Q108774","tv_series_followed_by"
"Q156329","Q380519","tv_series_followed_by"
"Q1077","Q20922","tv_series_followed_by"
"Q108774","Q156329","tv_series_followed_by"
"Q16290","Q108774","tv_series_followed_by"
"Q156329","Q380519","tv_series_followed_by"
"Q1077","Q20922","tv_series_followed_by"
