"source id","target id","label"
"Q380519","Q156329","tv_series_follows"
"Q108774","Q16290","tv_series_follows"
"Q16290","Q20922","tv_series_follows"
"Q156329","Q108774","tv_series_follows"
"Q380519","Q156329","tv_series_follows"
"Q108774","Q16290","tv_series_follows"
"Q16290","Q20922","tv_series_follows"
"Q156329","Q108774","tv_series_follows"
"Q380519","Q156329","tv_series_follows"
"Q108774","Q16290","tv_series_follows"
"Q16290","Q20922","tv_series_follows"
"Q156329","Q108774","tv_series_follows"
"Q380519","Q156329","tv_series_follows"
"Q108774","Q16290","tv_series_follows"
"Q16290","Q20922","tv_series_follows"
"Q156329","Q108774","tv_series_follows"
