Q1092,Star Trek,Q196600,media franchise
Q10134,Klingon language,Q2623733,fictional language
Q16276,Jean-Luc Picard,Q15632617,fictional human
Q20080,USS Voyager,Q14637321,fictional spacecraft
Q20082,USS Defiant,Q14637321,fictional spacecraft
Q20963,The Counter-Clock Incident,Q1983062,episode
Q23000,Zefram Cochrane,Q15632617,fictional human
Q25366,Where No Man Has Gone Before,Q1983062,episode
Q34359,Doctor,Q1226311,Emergency Medical Hologram
Q54259,Klingon,Q1700422,extraterrestrial from Star Trek
Q55191,Katherine Pulaski,Q95074,fictional character
Q125917,Q2,Q1983062,episode
Q222929,Deep Space Nine,Q18572946,fictional space station
Q241218,Star Trek V: The Final Frontier,Q11424,film
Q305387,Kathryn Janeway,Q95074,fictional character
Q380519,Star Trek: Enterprise,Q5398426,television series
Q388319,Star Trek: Nemesis,Q11424,film
Q426144,Kahless,Q6619679,fictional humanoid
Q426790,The Omega Glory,Q1983062,episode
Q471842,Star Trek IV: The Voyage Home,Q11424,film
Q471896,In the Pale Moonlight,Q1983062,episode
Q520622,Patterns of Force,Q1983062,episode
Q546404,Benjamin Sisko,Q15632617,fictional human
Q606202,Hikaru Sulu,Q95074,fictional character
Q610142,Season 3 of Star Trek: Enterprise,Q3464665,television season
Q629953,Ro Laren,Q95074,fictional character
Q664160,Season 2 of Star Trek: Enterprise,Q3464665,television season
Q673198,Star Trek: Insurrection,Q11424,film
Q722293,The Best of Both Worlds,Q1137046,Star Trek: The Next Generation episode
Q744652,The Andorian Incident,Q1983062,episode
Q752877,William Riker,Q15632617,fictional human
Q774719,Jadzia Dax,Q95074,fictional character
Q796793,All Good Things...,Q1137046,Star Trek: The Next Generation episode
Q826155,Worf,Q95074,fictional character
Q833830,List of Star Trek planets,Q13406463,Wikimedia list article
Q897951,Message in a Bottle,Q1983062,episode
Q965598,Weyoun,Q95074,fictional character
Q981113,What Are Little Girls Made Of?,Q1983062,episode
Q1016685,The Cloud,Q1983062,episode
Q1027348,The Expanse,Q1983062,episode
Q1027877,Crossfire,Q1983062,episode
Q1048019,LCARS,,
Q1058477,The Neutral Zone,Q1983062,episode
Q1065663,Xindi,,
Q1092502,Return to Grace,Q1983062,episode
Q1093269,The Omega Directive,Q15053464,fictional material
Q1102217,Star Trek,Q196600,media franchise
Q1136071,The Doomsday Machine,Q1983062,episode
Q1136084,The Trouble With Tribbles,Q1983062,episode
Q1186751,Dilithium,Q15053464,fictional material
Q1193849,USS Enterprise,Q989888,Starship Enterprise
Q1315662,T'Pol,Q95074,fictional character
Q1315800,The Devil in the Dark,Q1983062,episode
Q1318512,List of Star Trek planets,Q13406463,Wikimedia list article
Q1392472,Skin of Evil,Q1983062,episode
Q1412516,Samantha Wildman,Q95074,fictional character
Q1709306,Gorn,Q15707583,fictional taxon
Q1847020,Carbon Creek,Q1983062,episode
Q1916626,The Seventh,Q1983062,episode
Q1928841,History of Star Trek games,Q13406463,Wikimedia list article
Q1962970,Replicator,,
Q2004297,The Crossing,Q1983062,episode
Q2020365,Miles O'Brien,Q95074,fictional character
Q2069486,holodeck,Q1055307,fictional technology
Q2139300,Cold Front,Q1983062,episode
Q2153354,Anomaly,Q1983062,episode
Q2171485,Ezri Dax,Q95074,fictional character
Q2248682,USS Enterprise,Q989888,Starship Enterprise
Q2313211,Oasis,Q1983062,episode
Q2319447,Lists of Star Trek spacecraft,Q13406463,Wikimedia list article
Q2332178,Technology in Star Trek,,
Q2332522,Star Trek fan productions,,
Q2342342,The Catwalk,Q1983062,episode
Q2390392,Fortunate Son,Q1983062,episode
Q2406293,The Conscience of the King,Q1983062,episode
Q2573029,Thy'lek Shran,Q95074,fictional character
Q2623814,List of recurring Star Trek: Deep Space Nine characters,Q13406463,Wikimedia list article
Q2631797,Malcolm Reed,Q95074,fictional character
Q2787702,Acquisition,Q1983062,episode
Q2915551,The Inner Light,Q1983062,episode
Q2984478,The Naked Time,Q1983062,episode
Q2996346,North Star,Q1983062,episode
Q3177080,Déjà Q,Q1983062,episode
Q3204716,Stratagem,Q1983062,episode
Q3280032,Conspiracy,Q1983062,episode
Q3441834,Coming of Age,Q1983062,episode
Q3441887,"Elementary, Dear Data",Q1983062,episode
Q3441896,The Schizoid Man,Q1983062,episode
Q3441900,Unnatural Selection,Q1983062,episode
Q3444409,The Royale,Q1983062,episode
Q3444506,A Matter of Honor,Q1983062,episode
Q3445450,When the Bough Breaks,Q1983062,episode
Q3465791,Season 1 of Star Trek: Voyager,Q3464665,television season
Q3468578,season 2 of Star Trek,Q3464665,television season
Q3468582,Season 2 of Star Trek: Voyager,Q3464665,television season
Q3468783,season 3 of Star Trek,Q3464665,television season
Q3468790,Star Trek: The Next Generation,Q3464665,television season
Q3487137,Wolf in the Fold,Q1983062,episode
Q3487169,A Private Little War,Q1983062,episode
Q3487385,Spectre of the Gun,Q1983062,episode
Q3487409,The Empath,Q1983062,episode
Q3487421,The Squire of Gothos,Q1983062,episode
Q3487430,The Return of the Archons,Q1983062,episode
Q3487499,Assignment: Earth,Q1983062,episode
Q3488439,Day of the Dove,Q1983062,episode
Q3488474,The Immunity Syndrome,Q1983062,episode
Q3488808,Wink of an Eye,Q1983062,episode
Q3488820,Spock's Brain,Q1983062,episode
Q3488835,The Ultimate Computer,Q1983062,episode
Q3488866,Elaan of Troyius,Q1983062,episode
Q3492749,Phoenix,Q15416,television program
Q3493053,List of characters in Star Trek: The Next Generation,Q13406463,Wikimedia list article
Q3496188,The Offspring,Q1983062,episode
Q3496990,Star Trek: Starfleet Academy Starship Bridge Simulator,Q7889,video game
Q3496992,Star Trek,Q7889,video game
Q3499742,Yesteryear,Q1983062,episode
Q3500963,Star Trek canon,,
Q3506608,Requiem for Methuselah,Q1983062,episode
Q3506645,Peak Performance,Q1983062,episode
Q3506721,The Lights of Zetar,Q1983062,episode
Q3507014,The Mark of Gideon,Q1983062,episode
Q3507065,The Way to Eden,Q1983062,episode
Q3514952,Darkling,Q1983062,episode
Q3542320,Turist Ömer,,
Q3549975,Unimatrix Zero,Q1983062,episode
Q3562193,Let That Be Your Last Battlefield,Q1983062,episode
Q3615297,Doctor's Orders,Q1983062,episode
Q3730030,season 5 of Star Trek: Voyager,Q3464665,television season
Q3730033,Season 7 of Star Trek: Voyager,Q3464665,television season
Q3776914,,Q95074,fictional character
Q3784904,Henry Archer,Q5,human
Q3824662,Star Trek: Starship Creator,Q7889,video game
Q3825285,Vulcan nerve pinch,,
Q3968313,Star Trek: 25th Anniversary,Q7889,video game
Q3968314,Star Trek: Intrepid,Q11424,film
Q3968317,Star Trek: Starfleet Command II: Empires at War,Q7889,video game
Q3968320,Star Trek: The Next Generation: Klingon Honor Guard,Q7889,video game
Q4063649,List of Star Trek planets,Q13406463,Wikimedia list article
Q4545107,...Nor the Battle to the Strong,Q1983062,episode
Q4547735,11:59,Q1983062,episode
Q4658168,A Matter of Time,Q1983062,episode
Q4747498,Amok Time,Q1983062,episode
Q4782889,Aquiel,Q1983062,episode
Q4849966,Balance of Power,Q571,book
Q4925626,Blaze of Glory,Q1983062,episode
Q4927657,Blood Oath,Q1983062,episode
Q4927975,Bloodlines,Q1983062,episode
Q4944660,Borderland,Q1983062,episode
Q5038249,Cardassians,Q1983062,episode
Q5106979,Plato's Stepchildren,Q1983062,episode
Q5142384,Cold Station 12,Q1983062,episode
Q5166046,Conundrum,Q1983062,episode
Q5188759,Crossover,Q1983062,episode
Q5223330,Dark Mirror,Q571,book
Q5230255,Extinction,Q1983062,episode
Q5242724,Dax,Q1983062,episode
Q5242932,Day of Honor,Q1983062,episode
Q5256284,Demons,Q1983062,episode
Q5265257,Destiny,Q1983062,episode
Q5282901,Distant Origin,Q1983062,episode
Q5305068,Dragon's Teeth,Q1983062,episode
Q5306756,Dreams of the Raven,Q571,book
Q5370534,Emergence,Q1983062,episode
Q5374391,Empok Nor,Q1983062,episode
Q5376099,Endgame,Q1983062,episode
Q5380005,Ensign Ro,Q1983062,episode
Q5421397,Explorers,Q1983062,episode
Q5422685,Eye of the Beholder,Q1983062,episode
Q5428534,Facets,Q1983062,episode
Q5438625,Favorite Son,Q1983062,episode
Q5440727,Federation Council,Q15238535,fictional government or government body
Q5452876,First Contact,Q1983062,episode
Q5519638,Gambit,Q1983062,episode
Q5918105,How Sharper Than a Serpent's Tooth,Q1983062,episode
Q6002452,Imaginary Friend,Q1983062,episode
Q6006311,Imperfection,Q1983062,episode
Q6080488,Ishmael,Q571,book
